timestamp,window_title,window_class,is_idle
"2025-11-17 09:33:27","N/A","N/A","unknown"
"2025-11-17 09:33:37","N/A","N/A","unknown"
"2025-11-17 09:33:47","N/A","N/A","unknown"
"2025-11-17 09:33:57","N/A","N/A","unknown"
"2025-11-17 09:34:07","N/A","N/A","unknown"
"2025-11-17 09:34:17","N/A","N/A","unknown"
"2025-11-17 09:34:27","N/A","N/A","unknown"
"2025-11-17 09:34:37","My files - OneDrive","chrome-workframe-my.sharepoint.com__places-Default","unknown"
"2025-11-17 09:34:47","Documents - OneDrive","chrome-workframe-my.sharepoint.com__places-Default","unknown"
"2025-11-17 09:34:57","about:blank - Google Chrome","google-chrome","unknown"
"2025-11-17 09:35:07","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:35:17","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:35:27","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:35:37","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:35:47","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:35:57","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:36:07","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:36:17","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:36:27","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:36:38","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:36:48","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:36:58","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:37:08","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:37:18","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:37:28","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:37:38","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:37:48","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:37:58","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:38:08","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:38:18","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:38:28","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:38:38","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:38:48","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:38:58","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:39:08","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:39:18","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:39:28","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:39:38","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:39:48","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:39:58","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:40:08","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:40:18","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:40:28","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:40:38","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:40:48","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:40:58","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:41:08","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:41:18","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:41:28","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:41:38","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:41:48","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:41:58","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:42:08","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:42:18","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:42:28","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:42:38","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:42:48","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:42:58","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:43:08","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:43:18","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:43:28","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:43:38","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:43:48","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:43:58","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:44:08","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:44:18","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:44:28","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:44:38","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:44:48","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:44:58","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:45:08","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:45:18","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:45:28","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:45:38","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:45:48","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:45:58","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:46:08","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:46:18","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:46:28","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:46:38","Resource Planning.xlsx - Google Chrome","google-chrome","unknown"
"2025-11-17 09:46:48","Resource Planning.xlsx - Google Chrome","google-chrome","true"
"2025-11-17 09:46:58","Resource Planning.xlsx - Google Chrome","google-chrome","true"
"2025-11-17 09:47:08","Resource Planning.xlsx - Google Chrome","google-chrome","true"
"2025-11-17 09:47:18","Resource Planning.xlsx - Google Chrome","google-chrome","true"
"2025-11-17 09:47:28","Resource Planning.xlsx - Google Chrome","google-chrome","true"
"2025-11-17 09:47:38","Resource Planning.xlsx - Google Chrome","google-chrome","true"
"2025-11-17 09:47:48","Resource Planning.xlsx - Google Chrome","google-chrome","true"
"2025-11-17 09:47:58","Resource Planning.xlsx - Google Chrome","google-chrome","true"
"2025-11-17 09:48:08","Resource Planning.xlsx - Google Chrome","google-chrome","true"
"2025-11-17 09:48:18","Resource Planning.xlsx - Google Chrome","google-chrome","true"
"2025-11-17 09:48:28","Resource Planning.xlsx - Google Chrome","google-chrome","true"
"2025-11-17 09:48:38","Resource Planning.xlsx - Google Chrome","google-chrome","true"
"2025-11-17 09:48:48","Resource Planning.xlsx - Google Chrome","google-chrome","true"
"2025-11-17 09:48:58","Resource Planning.xlsx - Google Chrome","google-chrome","true"
